"Último: Tiempo (s)","Último: Fuerza (N)"
29.8,32.2817110415
29.9,32.4973580572
30,32.7130050729
30.1,32.4973580572
30.2,32.4973580572
30.3,32.4973580572
30.4,32.9286520886
30.5,32.4973580572
30.6,31.85041701
30.7,32.2817110415
30.8,32.4973580572
30.9,32.2817110415
31,32.2817110415
31.1,32.2817110415
31.2,32.7130050729
31.3,32.0660640257
31.4,31.6347699943
31.5,32.4973580572
31.6,32.7130050729
31.7,32.4973580572
31.8,32.4973580572
31.9,32.4973580572
32,32.2817110415
32.1,32.2817110415
32.2,32.0660640257
32.3,32.2817110415
32.4,32.2817110415
32.5,31.85041701
32.6,31.2034759629
32.7,30.7721819314
32.8,30.5565349157
32.9,30.1252408843
33,29.9095938685
33.1,29.9095938685
33.2,29.2626528214
33.3,29.4782998371
33.4,29.4782998371
33.5,29.2626528214
33.6,29.2626528214
33.7,28.6157117742
33.8,28.8313587899
33.9,28.8313587899
34,29.0470058057
34.1,29.0470058057
34.2,29.2626528214
34.3,29.2626528214
34.4,29.2626528214
34.5,29.2626528214
34.6,29.2626528214
34.7,29.2626528214
34.8,29.0470058057
34.9,29.2626528214
35,29.4782998371
35.1,29.2626528214
35.2,29.2626528214
35.3,29.2626528214
35.4,29.0470058057
35.5,29.9095938685
35.6,29.4782998371
35.7,29.4782998371
35.8,29.4782998371
35.9,29.4782998371
36,29.6939468528
36.1,29.4782998371
36.2,29.0470058057
36.3,29.2626528214
36.4,28.1844177428
36.5,28.1844177428
36.6,28.4000647585
36.7,27.7531237113
36.8,27.968770727
36.9,27.5374766956
37,26.6883665712
37.1,26.6883665712
37.2,27.1061826642
37.3,27.1061826642
37.4,27.3218296799
37.5,27.5374766956
37.6,27.7531237113
37.7,27.968770727
37.8,27.7531237113
37.9,27.968770727
38,27.7531237113
38.1,27.968770727
38.2,27.5374766956
38.3,27.5374766956
38.4,27.5374766956
38.5,27.968770727
38.6,27.7531237113
38.7,27.7531237113
38.8,27.7531237113
38.9,27.3218296799
39,27.7531237113
39.1,27.5374766956
39.2,27.3218296799
39.3,27.3218296799
39.4,27.5374766956
39.5,27.5374766956
39.6,26.6883665712
39.7,26.8905356484
39.8,27.5374766956
39.9,27.3218296799
40,27.7531237113
40.1,27.5374766956
40.2,27.3218296799
40.3,27.3218296799
40.4,27.1061826642
40.5,27.1061826642
40.6,26.8905356484
40.7,27.1061826642
40.8,27.3218296799
40.9,27.3218296799
41,27.3218296799
41.1,26.8905356484
41.2,27.1061826642
41.3,27.1061826642
41.4,26.8905356484
41.5,26.6883665712
41.6,26.6883665712
41.7,26.6883665712
41.8,26.6883665712
41.9,26.2570725398
42,26.041425524
42.1,25.6101314926
42.2,25.8257785083
42.3,25.1788374612
42.4,25.3944844769
42.5,25.6101314926
42.6,25.6101314926
42.7,25.6101314926
42.8,25.6101314926
42.9,25.6101314926
43,25.3944844769
43.1,25.1788374612
43.2,24.9631904454
43.3,24.7475434297
43.4,24.7475434297
43.5,24.7475434297
43.6,24.9631904454
43.7,24.9631904454
43.8,24.9631904454
43.9,25.3944844769
44,25.6101314926
44.1,25.6101314926
44.2,25.3944844769
44.3,25.1788374612
44.4,25.1788374612
44.5,25.1788374612
44.6,25.3944844769
44.7,24.7475434297
44.8,24.9631904454
44.9,24.7475434297
45,24.531896414
45.1,24.531896414
45.2,24.3162493983
45.3,24.3162493983
45.4,24.3162493983
45.5,24.531896414
45.6,24.1006023826
45.7,23.8849553668
45.8,23.6693083511
45.9,23.6693083511
46,23.4536613354
46.1,23.2380143197
46.2,22.8067202882
46.3,22.5910732725
46.4,23.4536613354
46.5,23.8849553668
46.6,23.8849553668
46.7,23.6693083511
46.8,23.6693083511
46.9,23.6693083511
47,23.6693083511
47.1,23.6693083511
47.2,23.6693083511
47.3,23.4536613354
47.4,23.2380143197
47.5,23.022367304
47.6,23.022367304
47.7,23.2380143197
47.8,23.6693083511
47.9,23.6693083511
48,24.1006023826
48.1,23.8849553668
48.2,23.4536613354
48.3,23.6693083511
48.4,23.8849553668
48.5,23.8849553668
48.6,23.6693083511
48.7,23.6693083511
48.8,23.8849553668
48.9,23.8849553668
49,23.4536613354
49.1,23.2380143197
49.2,23.4536613354
49.3,23.2380143197
49.4,23.2380143197
49.5,23.6693083511
49.6,24.1006023826
49.7,24.3162493983
49.8,24.1006023826
49.9,23.6693083511
50,24.1006023826
50.1,24.1006023826
50.2,24.1006023826
50.3,24.1006023826
50.4,24.1006023826
50.5,24.1006023826
50.6,24.3162493983
50.7,24.3162493983
50.8,24.1006023826
50.9,24.3162493983
51,24.1006023826
51.1,24.1006023826
51.2,24.1006023826
51.3,24.1006023826
51.4,24.1006023826
51.5,23.8849553668
51.6,23.022367304
51.7,23.2380143197
51.8,23.6693083511
51.9,23.8849553668
52,23.8849553668
52.1,23.8849553668
52.2,23.6693083511
52.3,23.4536613354
52.4,23.4536613354
52.5,23.4536613354
52.6,23.2380143197
52.7,23.2380143197
52.8,23.2380143197
52.9,23.2380143197
53,22.8067202882
53.1,22.3754262568
53.2,22.5910732725
53.3,22.3754262568
53.4,22.3754262568
53.5,22.3754262568
53.6,22.3754262568
53.7,22.8067202882
53.8,22.8067202882
53.9,22.5910732725
54,22.5910732725
54.1,22.3754262568
54.2,22.5910732725
54.3,22.8067202882
54.4,22.5910732725
54.5,22.3754262568
54.6,22.5910732725
54.7,22.5910732725
54.8,22.1597792411
54.9,22.1597792411
55,21.9441322254
55.1,21.7284852096
55.2,21.5128381939
55.3,21.9441322254
55.4,22.1597792411
55.5,21.7284852096
55.6,21.5128381939
55.7,21.7284852096
55.8,21.7284852096
55.9,21.7284852096
56,21.9441322254
56.1,21.9441322254
56.2,21.9441322254
56.3,21.5128381939
56.4,21.5128381939
56.5,21.2971911782
56.6,21.2971911782
56.7,20.8658971468
56.8,20.4346031153
56.9,20.4346031153
57,20.4346031153
57.1,20.4346031153
57.2,20.4346031153
57.3,20.4346031153
57.4,20.2189560996
57.5,20.2189560996
57.6,19.7876620681
57.7,19.5720150524
57.8,19.5720150524
57.9,19.5720150524
58,19.5720150524
58.1,19.7876620681
58.2,19.7876620681
58.3,19.7876620681
58.4,19.5720150524
58.5,19.7876620681
58.6,19.7876620681
58.7,19.7876620681
58.8,19.7876620681
58.9,19.7876620681
59,19.7876620681
59.1,19.7876620681
59.2,19.7876620681
59.3,20.0033090839
59.4,19.7876620681
59.5,19.5720150524
59.6,19.5720150524
59.7,19.5720150524
59.8,19.7876620681
59.9,19.7876620681
60,19.7876620681
60.1,19.5720150524
60.2,19.5720150524
60.3,19.5720150524
60.4,19.5720150524
60.5,19.7876620681
60.6,20.2189560996
60.7,20.2189560996
60.8,19.7876620681
60.9,19.3698459752
61,19.1541989595
61.1,19.5720150524
61.2,19.7876620681
61.3,19.5720150524
61.4,19.3698459752
61.5,19.3698459752
61.6,19.1541989595
61.7,19.1541989595
61.8,19.7876620681
61.9,19.5720150524
62,18.5072579123
62.1,18.0759638809
62.2,18.2916108966
62.3,19.1541989595
62.4,19.5720150524
62.5,18.9385519437
62.6,17.8603168651
62.7,17.8603168651
62.8,18.2916108966
62.9,17.4290228337
63,17.8603168651
63.1,18.5072579123
63.2,18.5072579123
63.3,18.0759638809
63.4,18.0759638809
63.5,17.213375818
63.6,17.213375818
63.7,17.4290228337
63.8,17.8603168651
63.9,17.8603168651
64,17.213375818
64.1,16.9977288023
64.2,17.213375818
64.3,17.6446698494
64.4,18.0759638809
64.5,18.2916108966
64.6,18.2916108966
64.7,18.2916108966
64.8,18.722904928
64.9,18.722904928
65,18.5072579123
65.1,18.0759638809
65.2,18.5072579123
65.3,18.2916108966
65.4,18.5072579123
65.5,18.0759638809
65.6,18.0759638809
65.7,17.8603168651
65.8,18.0759638809
65.9,18.0759638809
66,17.8603168651
66.1,17.6446698494
66.2,17.8603168651
66.3,17.6446698494
66.4,17.6446698494
66.5,17.6446698494
66.6,17.6446698494
66.7,17.8603168651
66.8,17.8603168651
66.9,17.8603168651
67,18.0759638809
67.1,18.9385519437
67.2,19.3698459752
67.3,19.1541989595
67.4,18.722904928
67.5,18.5072579123
67.6,18.2916108966
67.7,18.2916108966
67.8,18.5072579123
67.9,18.9385519437
68,19.3698459752
68.1,18.722904928
68.2,18.5072579123
68.3,18.722904928
68.4,18.722904928
68.5,18.5072579123
68.6,18.5072579123
68.7,18.722904928
68.8,18.9385519437
68.9,18.9385519437
69,18.9385519437
69.1,18.722904928
69.2,18.722904928
69.3,18.5072579123
69.4,18.2916108966
69.5,18.2916108966
69.6,18.0759638809
69.7,17.8603168651
69.8,18.0759638809
69.9,17.8603168651
70,18.0759638809
70.1,17.8603168651
70.2,17.6446698494
70.3,17.8603168651
70.4,18.0759638809
70.5,18.0759638809
70.6,17.8603168651
70.7,17.6446698494
70.8,17.4290228337
70.9,17.213375818
71,17.8603168651
71.1,17.4290228337
71.2,17.213375818
71.3,16.9977288023
71.4,16.9977288023
71.5,17.213375818
71.6,17.4290228337
71.7,17.213375818
71.8,16.9977288023
71.9,17.213375818
72,16.9977288023
72.1,16.5664347708
72.2,16.3507877551
72.3,16.5664347708
72.4,16.5664347708
72.5,16.3507877551
72.6,16.3507877551
72.7,16.1351407394
72.8,15.9194937237
72.9,16.3507877551
73,16.3507877551
73.1,16.5664347708
73.2,16.9977288023
73.3,16.5664347708
73.4,15.9194937237
73.5,16.3507877551
73.6,16.3507877551
73.7,16.3507877551
73.8,16.3507877551
73.9,16.1351407394
74,15.9194937237
74.1,15.7038467079
74.2,16.1351407394
74.3,16.3507877551
74.4,16.7820817865
74.5,16.5664347708
74.6,16.3507877551
74.7,16.1351407394
74.8,16.3507877551
74.9,16.7820817865
75,16.5664347708
75.1,16.5664347708
75.2,16.3507877551
75.3,15.4881996922
75.4,15.7038467079
75.5,16.1351407394
75.6,16.1351407394
75.7,15.7038467079
75.8,15.7038467079
75.9,15.4881996922
76,15.7038467079
76.1,15.4881996922
76.2,15.4881996922
76.3,15.0569056608
76.4,15.0569056608
76.5,14.8412586451
76.6,14.4099646136
76.7,14.6256116293
76.8,13.9786705822
76.9,13.7630235665
77,13.9786705822
77.1,14.4099646136
77.2,14.4099646136
77.3,14.1943175979
77.4,14.1943175979
77.5,13.7630235665
77.6,13.5473765507
77.7,13.5473765507
