Vernier Format 2
rest_spirom3.cmbl 10/05/20 16:24 .
Último
Tiempo	Rapidez flujo	Volumen
t	Flujo	Vol
s	L/s	L

5.22	1.33360336917	0.567484182223
5.23	1.31456039996	0.554243363377
5.24	1.25743149231	0.541383403916
5.25	1.24850510049	0.528853720952
5.26	1.19137619284	0.516654314485
5.27	1.18185470824	0.50478815998
5.28	1.12472580059	0.493255257436
5.29	1.09616134677	0.482150821699
5.3	1.06759689294	0.4713320305
5.31	1.03903243912	0.46079888384
5.32	1.00094650069	0.450598989141
5.33	0.953339077649	0.440827561249
5.34	0.934296108433	0.431389385319
5.35	0.915253139217	0.422141639081
5.36	0.877762293574	0.413176561917
5.37	0.849197839751	0.40454176125
5.38	0.811111901319	0.396240212545
5.39	0.792068932104	0.388224308378
5.4	0.76350447828	0.380446441326
5.41	0.734940024457	0.372954218812
5.42	0.687332601417	0.365842855683
5.43	0.668289632202	0.359064744515
5.44	0.639725178378	0.352524670462
5.45	0.611160724555	0.346270240947
5.46	0.582596270731	0.340301455971
5.47	0.582596270731	0.334475493263
5.48	0.554626909696	0.328789377361
5.49	0.545105425088	0.323290715687
5.5	0.516540971264	0.317982483705
5.51	0.497498002049	0.312912288839
5.52	0.459412063617	0.308127738511
5.53	0.421326125186	0.303724047567
5.54	0.392761671363	0.299653608584
5.55	0.354675732931	0.295916421562
5.56	0.307068309892	0.292607701348
5.57	0.249939402245	0.289822662788
5.58	0.174362618171	0.287701152685
5.59	0.0886692567001	0.286385993311
5.6	0.0124973798374	0.285880160128
5.61	-0.111281920064	0.28637408283
5.62	-0.243987611786	0.288150430489
5.63	-0.434417303943	0.291542455067
5.64	-0.67185932635	0.297073838219
5.65	-0.947387287189	0.305170071287
5.66	-1.24195821724	0.316116798809
5.67	-1.49903830166	0.329821781403
5.68	-1.71743735485	0.345904159686
5.69	-2.06913719255	0.364837032423
5.7	-2.354186638	0.386953651576
5.71	-2.5821071758	0.411635120645
5.72	-2.82014429099	0.438646377979
5.73	-3.03854334418	0.467939816154
5.74	-3.22897303634	0.499277398057
5.75	-3.38072169728	0.532325871725
5.76	-3.54258693561	0.56694241489
5.77	-3.69433559655	0.60312702755
5.78	-3.79907192723	0.640594065169
5.79	-3.84667935027	0.678822821557
5.8	-3.80859341184	0.717099185367
5.81	-3.86572231949	0.755470764024
5.82	-3.95141568096	0.794556454026
5.83	-3.979385042	0.834210457641
5.84	-3.979385042	0.874004308061
5.85	-4.04603543425	0.914131410442
5.86	-3.9889065266	0.954306120246
5.87	-4.03651394964	0.994433222628
5.88	-4.05555691886	1.03489357697
5.89	-4.17933621876	1.07606804266
5.9	-4.25550809562	1.11824226423
5.91	-4.18885770337	1.16046409323
5.92	-4.19837918798	1.20240027768
5.93	-4.31204191048	1.24495238317
5.94	-4.31204191048	1.28807280228
5.95	-4.3310848797	1.33128843623
5.96	-4.31204191048	1.37450407018
5.97	-4.23646512641	1.41724660537
5.98	-4.1031643419	1.45894475271
5.99	-3.95141568096	1.49921765282
6	-4.01747098043	1.53906208613
6.01	-3.9889065266	1.57909397366
6.02	-3.99842801121	1.61903064635
6.03	-3.88476528871	1.65844661285
6.04	-3.78955044263	1.69681819151
6.05	-3.72290005037	1.73438044397
6.06	-3.79907192723	1.77199030386
6.07	-3.7609859888	1.80979059344
6.08	-3.73242153498	1.84725763106
6.09	-3.68481411194	1.8843438093
6.1	-3.6372066889	1.9209539133
6.11	-3.5235439664	1.95675766658
6.12	-3.46641505875	1.9917074617
6.13	-3.46641505875	2.02637161229
6.14	-3.38072169728	2.06060729607
6.15	-3.33311427424	2.09417647593
6.16	-3.27598536659	2.12722197413
6.17	-3.20040858252	2.15960394388
6.18	-3.15280115948	2.19136999259
6.19	-3.10519373644	2.22265996707
6.2	-2.88679468325	2.25261990916
6.21	-2.87727319864	2.28144024857
6.22	-2.82014429099	2.30992733602
6.23	-2.82014429099	2.33812877893
6.24	-2.76301538335	2.3660445773
6.25	-2.68684350648	2.39329387175
6.26	-2.68684350648	2.42016230682
6.27	-2.62019311423	2.44669748992
6.28	-2.55413781476	2.47256914457
6.29	-2.45892296868	2.49763444848
6.3	-2.354186638	2.52169999652
6.31	-2.24945030731	2.54471818124
6.32	-2.16435203863	2.56678719297
6.33	-2.04057273873	2.58781181686
6.34	-1.93583640804	2.60769386259
6.35	-1.79360923171	2.62634109079
6.36	-1.68887290102	2.64375350146
6.37	-1.58413657034	2.66011854881
6.38	-1.47047384783	2.6753916009
6.39	-1.33717306332	2.68942983546
6.4	-1.20387227881	2.70213506217
6.41	-1.09020955631	2.71360547135
6.42	-1.01403767944	2.72412670752
6.43	-0.966430256405	2.7340290472
6.44	-0.909301348758	2.74340770523
6.45	-0.833129471896	2.75211985933
6.46	-0.748031203213	2.76002566271
6.47	-0.67185932635	2.76712511536
6.48	-0.576644480272	2.77336763439
6.49	-0.481429634194	2.77865800496
6.5	-0.405852850119	2.78309441738
6.51	-0.329680973256	2.7867720865
6.52	-0.272552065609	2.78978325169
6.53	-0.196380188747	2.79212791297
6.54	-0.148772765708	2.79385367774
6.55	-0.101760435457	2.79510634374
6.56	-0.0636744970252	2.79593351841
6.57	0.0124973798374	2.79618940399
6.58	0.0886692567001	2.79568357081
6.59	0.193405587386	2.79427319659
6.6	0.268982371461	2.7919612568
6.61	0.335632763716	2.78893818112
6.62	0.345154248324	2.78553424606
6.63	0.335632763716	2.782130311
6.64	0.3165897945	2.77886919821
6.65	0.345154248324	2.77556047799
6.66	0.392761671363	2.7718708984
6.67	0.459412063617	2.76761002972
6.68	0.545105425088	2.76258744228
6.69	0.639725178378	2.75666328926
6.7	0.706375570633	2.74993278551
6.71	0.820633385927	2.74229774073
6.72	0.924774623825	2.73357070068
6.73	1.09616134677	2.72346602083
6.74	1.27647446153	2.71160284179
6.75	1.52403306133	2.69760030417
6.76	1.77099656835	2.68112515603
6.77	2.03700304458	2.66208515796
6.78	2.31253100542	2.64033748771
6.79	2.56008960522	2.61597438466
6.8	2.80705311224	2.58913867107
6.81	3.02545216543	2.55997614468
6.82	3.19683888837	2.52886468941
6.83	3.39619497235	2.49589952011
6.84	3.50093130303	2.46141388873
6.85	3.5866246645	2.4259761089
6.86	3.70028738701	2.38954154864
6.87	3.70028738701	2.35253867477
6.88	3.70028738701	2.3155358009
6.89	3.66279654136	2.27872038126
6.9	3.78598074848	2.24147649481
6.91	3.8145452023	2.20347386505
6.92	3.71933035622	2.16580448726
6.93	3.59614614911	2.12922710473
6.94	3.66279654136	2.09293239128
6.95	3.70980887162	2.05606936422
6.96	3.82406668691	2.01839998642
6.97	3.90976004838	1.97973085275
6.98	3.91928153299	1.94058564484
6.99	3.90976004838	1.90144043693
7	3.85263114073	1.86262848099
7.01	3.90976004838	1.82381652504
7.02	3.98593192524	1.78433806517
