Vernier Format 2
pulsos.cmbl 05/05/20 14:46 .
Último
Tiempo	Fuerza
t	F
s	N

24.3	1.92939357879
24.4	1.28245253162
24.5	1.49809954735
24.6	1.71374656307
24.7	2.79198164167
24.8	4.30151075171
24.9	13.1160825193
25	64.3457266914
25.1	91.4768168568
25.2	99.0109844685
25.3	92.1237579039
25.4	68.8743140216
25.5	15.4881996922
25.6	4.51715776743
25.7	2.57633462595
25.8	1.49809954735
25.9	1.0668055159
26	0.851158500183
26.1	1.28245253162
26.2	1.28245253162
26.3	2.14504059451
26.4	13.5473765507
26.5	60.2619113312
26.6	81.3548850564
26.7	76.624128649
26.8	70.1681961159
26.9	56.595912064
27	13.7630235665
27.1	5.36626789183
27.2	3.65456970455
27.3	3.00762865739
27.4	2.57633462595
27.5	2.57633462595
27.6	2.79198164167
27.7	3.22327567311
27.8	6.22885595472
27.9	12.0513253792
28	23.022367304
28.1	59.3993232683
28.2	82.2174731193
28.3	85.0208843236
28.4	85.2365313394
28.5	80.0610029621
28.6	55.7468019396
28.7	16.1351407394
28.8	4.51715776743
28.9	3.00762865739
29	3.00762865739
29.1	3.22327567311
29.2	3.22327567311
29.3	3.00762865739
29.4	3.22327567311
29.5	3.00762865739
29.6	3.22327567311
29.7	3.00762865739
29.8	3.00762865739
29.9	4.73280478315
30	38.7376435746
30.1	77.4867167119
30.2	82.8644141664
30.3	79.8453559463
30.4	78.9827678835
30.5	76.1928346176
30.6	39.168937606
30.7	7.73838506476
30.8	4.93497386039
30.9	4.51715776743
31	4.30151075171
31.1	4.08586373599
31.2	3.87021672027
31.3	3.65456970455
31.4	3.65456970455
31.5	3.43892268883
31.6	3.43892268883
31.7	6.87579700188
31.8	35.7185853545
31.9	66.2865498329
32	68.8743140216
32.1	68.0117259587
32.2	68.6586670058
32.3	70.815137163
32.4	73.8207174446
32.5	73.8207174446
32.6	39.6002316375
32.7	9.03226715908
32.8	3.87021672027
32.9	2.79198164167
33	2.79198164167
33.1	2.79198164167
33.2	3.00762865739
33.3	3.22327567311
33.4	3.65456970455
33.5	3.87021672027
33.6	5.15062087611
33.7	36.7968204331
33.8	77.0554226805
33.9	94.0511031069
34	95.560632217
34.1	99.2266314842
34.2	93.1885150441
34.3	53.1590377509
34.4	15.2725526765
34.5	5.58191490755
34.6	4.08586373599
34.7	3.65456970455
34.8	3.43892268883
34.9	3.43892268883
35	3.22327567311
35.1	3.22327567311
35.2	3.22327567311
