Vernier Format 2
fatigue_spirom3.cmbl 10/05/20 16:17 .
Latest
Tiempo	Tasa de Flujo	Volumen
t	Flujo	Vol
s	L/s	L

10.21	-1.46809347668	0.415614350592
10.22	-1.58235129197	0.430866574436
10.23	-1.68649252987	0.447210793545
10.24	-1.79122886056	0.464599400497
10.25	-1.85787925281	0.482844941064
10.26	-1.94357261428	0.501852200399
10.27	-1.94357261428	0.521287926542
10.28	-1.95309409889	0.540771260108
10.29	-2.00962791375	0.560584870171
10.3	-1.96202049071	0.580443112193
10.31	-1.93405112968	0.599923470295
10.32	-1.89596519124	0.6190735519
10.33	-1.90548667585	0.638080811235
10.34	-1.90548667585	0.657135677994
10.35	-1.86740073742	0.67600011506
10.36	-1.8388362836	0.694531300165
10.37	-1.82931479899	0.712872055578
10.38	-1.81979331438	0.731117596145
10.39	-1.79122886056	0.74917270702
10.4	-1.77218589134	0.766989780779
10.41	-1.76266440673	0.78466403227
10.42	-1.74362143752	0.802195461491
10.43	-1.75314292213	0.819679283289
10.44	-1.76266440673	0.837258319934
10.45	-1.79122886056	0.85502778627
10.46	-1.78170737595	0.872892467453
10.47	-1.78170737595	0.890709541212
10.48	-1.75314292213	0.908383792702
10.49	-1.76266440673	0.925962829347
10.5	-1.75314292213	0.943541865991
10.51	-1.75314292213	0.961073295212
10.52	-1.77218589134	0.97869993928
10.53	-1.75314292213	0.996326583347
10.54	-1.75314292213	1.01385801257
10.55	-1.74362143752	1.03134183437
10.56	-1.74362143752	1.04877804874
10.57	-1.73409995291	1.06616665569
10.58	-1.73409995291	1.08350765522
10.59	-1.73409995291	1.10084865475
10.6	-1.66744956066	1.11785640232
10.61	-1.6109157458	1.13424822885
10.62	-1.57282980737	1.15016695662
10.63	-1.56330832276	1.16584764727
10.64	-1.52522238433	1.1812903008
10.65	-1.52522238433	1.19654252465
10.66	-1.4871364459	1.2116043188
10.67	-1.43000753825	1.22619003872
10.68	-1.40144308443	1.24034729183
10.69	-1.3728786306	1.25421890041
10.7	-1.34431417678	1.26780486444
10.71	-1.28778036192	1.28096533714
10.72	-1.24969442349	1.29365271107
10.73	-1.22112996966	1.30600683303
10.74	-1.16400106202	1.31793248819
10.75	-1.11639363898	1.32933446169
10.76	-1.04022176212	1.3401175387
10.77	-1.0211787929	1.35042454148
10.78	-0.955123493433	1.36030605291
10.79	-0.917037555002	1.36966685815
10.8	-0.840865678139	1.37845637431
10.81	-0.774215285885	1.38653177913
10.82	-0.717086378238	1.39398828746
10.83	-0.631988109555	1.40073365989
10.84	-0.546294748085	1.40662507418
10.85	-0.441558417398	1.41156434001
10.86	-0.355865055928	1.41555145738
10.87	-0.261245302638	1.41863700917
10.88	-0.166030456559	1.42077338797
10.89	-0.0803370950889	1.42200522572
10.9	0.0333256274171	1.42224028306
10.91	0.166626411927	1.42124052287
10.92	0.318375072864	1.41881551544
10.93	0.461197341981	1.41491765337
10.94	0.604019611099	1.4095915686
10.95	0.746246787428	1.40284023661
10.96	0.87002608733	1.39475887224
10.97	0.917633510369	1.38582057425
10.98	1.02177474827	1.37612353295
10.99	1.14555404817	1.36528688897
11	1.23124740964	1.35340288168
11.01	1.30682419371	1.34071252367
11.02	1.36395310136	1.32735863719
11.03	1.42108200901	1.31343346164
11.04	1.46868943205	1.29898460443
11.05	1.50677537048	1.28410728042
11.06	1.54486130891	1.26884909702
11.07	1.58294724734	1.25321005424
11.08	1.61091660838	1.23724073496
11.09	1.62995957759	1.22103635403
11.1	1.62043809298	1.20478436568
11.11	1.59246873195	1.18871983156
11.12	1.62995957759	1.17260769001
11.13	1.6394810622	1.15626048681
11.14	1.66804551602	1.13972285392
11.15	1.6394810622	1.12318522103
11.16	1.64900254681	1.10674280298
11.17	1.6394810622	1.09030038494
11.18	1.6394810622	1.07390557432
